university_name,original_address,lat,lng,place_id,location_type,il,ilce,mahalle,postal_code,has_university,has_establishment,has_poi,is_private,types_count,bolge,sehir_kategori,lat_kategori,lng_kategori
Ankara Medipol University,"Ankara Medipol University, , Türkiye",39.9357479,32.845484,ChIJK32sSzRP0xQRUGNOOH6Q5uY,ROOFTOP,Ankara,Altındağ,Hacı Bayram,06050,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Atılım University,"Atılım University, , Türkiye",38.963745,35.243322,ChIJcSZPllwVsBQRKl9iKtTb2UA,APPROXIMATE,,,,,False,False,False,False,2,Diğer,İl,Orta,Orta
Başkent University,"Başkent University, , Türkiye",39.8876842,32.6543665,ChIJS67_ATk50xQRtlEDkz_VdRU,ROOFTOP,Ankara,Etimesgut,Fatih Sultan,06790,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Çankaya University,"Çankaya University, , Türkiye",39.8193919,32.5642731,ChIJU1mED8MX0xQRx-xuTFSVPl8,ROOFTOP,Ankara,Etimesgut,Yukarıyurtçu,06790,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Bilkent University,"Bilkent University, , Türkiye",39.8680167,32.7498917,ChIJkQW7ShJH0xQRVC6B8-S79V8,GEOMETRIC_CENTER,Ankara,Çankaya,Üniversiteler,06800,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Lokman Hekim University,"Lokman Hekim University, , Türkiye",39.910971,32.7880249,ChIJKQT2VLdI0xQRyV6eEsvuIco,ROOFTOP,Ankara,Çankaya,Söğütözü,06530,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
OSTIM Technical University,"OSTIM Technical University, , Türkiye",39.9689967,32.7437811,ChIJnyZxWahJ0xQRBBdl_U8Gvg4,ROOFTOP,Ankara,Yenimahalle,Ostim,06374,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
TED University,"TED University, , Türkiye",39.9228214,32.8618589,ChIJ9zokzFNO0xQRmND1RZlBqK8,ROOFTOP,Ankara,Çankaya,Ön Cebeci,06420,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
TOBB University of Economics and Technology,"TOBB University of Economics and Technology, , Türkiye",39.9211819,32.7983108,ChIJqzP36bdI0xQR2ONks_PNG98,ROOFTOP,Ankara,Çankaya,Söğütözü,06510,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Ufuk University,"Ufuk University, , Türkiye",39.8265696,32.7297238,ChIJM4YrCppA0xQRyfrNhW8xXkI,ROOFTOP,Ankara,Gölbaşı,Ahlatlıbel,06805,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
University of Turkish Aeronautical Association,"University of Turkish Aeronautical Association, , Türkiye",39.9457104,32.6869161,ChIJv2p0tVc40xQRZ1X-QFU-phA,ROOFTOP,Ankara,Etimesgut,Bahçekapı,06790,True,True,True,False,3,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Yüksek İhtisas University,"Yüksek İhtisas University, , Türkiye",39.8899274,32.8005988,ChIJX2ask1ZP0xQRt2yKNvCBTf0,ROOFTOP,Ankara,Çankaya,İşçi Blokları,06530,True,True,True,False,4,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Police Academy (Police),"Police Academy (Police), , Türkiye",38.963745,35.243322,ChIJcSZPllwVsBQRKl9iKtTb2UA,APPROXIMATE,,,,,False,False,False,False,2,Diğer,İl,Orta,Orta
Akdeniz University,"Akdeniz University, Antalya, Türkiye",36.8958224,30.6502473,ChIJGcg768SRwxQRdEHi9okAwyk,GEOMETRIC_CENTER,Antalya,Konyaaltı,Pınarbaşı,,True,True,True,False,3,Akdeniz,Büyükşehir,Güney,Batı-Orta
Alanya Alaaddin Keykubat University,"Alanya Alaaddin Keykubat University, , Türkiye",36.5485204,31.9927375,ChIJ_5aN8Lmj3BQR0REDR-lLu5g,ROOFTOP,Antalya,Alanya,Saray,07400,True,True,True,False,3,Akdeniz,Büyükşehir,Güney,Batı-Orta
Alanya University,"Alanya University, , Türkiye",36.5481729,32.032063,ChIJfRL85PuY3BQRCRG7bhpI9Rw,ROOFTOP,Antalya,Alanya,Cikcilli,07400,True,True,True,False,3,Akdeniz,Büyükşehir,Güney,Batı-Orta
Antalya Belek University,"Antalya Belek University, , Türkiye",36.8857776,30.9993873,ChIJ1UnO-Pd7wxQR_90e4mUqpuo,GEOMETRIC_CENTER,Antalya,Serik,Kadriye,07525,True,True,True,False,3,Akdeniz,Büyükşehir,Güney,Batı-Orta
Antalya Bilim University,"Antalya Bilim University, , Türkiye",37.051863,30.620937,ChIJjapJbr2awxQReuhhxXucmzI,ROOFTOP,Antalya,Döşemealtı,Çıplaklı,07190,True,True,True,False,3,Akdeniz,Büyükşehir,Güney,Batı-Orta
Ardahan University,"Ardahan University, Ardahan, Türkiye",41.1314376,42.7803695,ChIJUT567dyOaUARkKsgEx2NQmc,GEOMETRIC_CENTER,Ardahan,Ardahan Merkez,Merkez,75000,True,True,True,False,3,Diğer,İl,Kuzey,Doğu
Artvin Çoruh University,"Artvin Çoruh University, Artvin, Türkiye",41.1850646,41.8334346,ChIJafTSYUd2aEARDhJnVD9WAbw,GEOMETRIC_CENTER,Artvin,Artvin Merkez,Çayağzı,08000,True,True,True,False,3,Diğer,İl,Kuzey,Doğu
Aydın Adnan Menderes University,"Aydın Adnan Menderes University, Aydın, Türkiye",37.85296659999999,27.8543611,ChIJnRyaU3MruRQRsNFd3Zw-RUI,GEOMETRIC_CENTER,Aydın,Efeler,Zafer,09010,True,True,True,False,3,Ege,İl,Güney-Orta,Batı
Balıkesir University,"Balıkesir University, Balıkesir, Türkiye",39.6412797,27.8817079,ChIJqU7lj00AtxQR5V77mxafa-I,ROOFTOP,Balıkesir,Altıeylül,Kasaplar,10100,True,True,True,False,3,Diğer,İl,Orta,Batı
Bandırma Onyedi Eylül University,"Bandırma Onyedi Eylül University, , Türkiye",40.3374521,27.9360007,ChIJBfiUD6jUtRQRgxxbvGQQkAk,GEOMETRIC_CENTER,Balıkesir,Bandırma,Yeni,10250,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Batı
Bartın University,"Bartın University, Bartın, Türkiye",41.6370435,32.3531552,ChIJJx1ROkZym0ARmnJSVzbzgLI,ROOFTOP,Bartın,Bartın Merkez,Tuna,74100,False,True,True,False,2,Diğer,İl,Kuzey,Batı-Orta
Batman University,"Batman University, Batman, Türkiye",37.7873005,41.06279139999999,ChIJRe2P-a09C0ARA2HUE1DV4h4,GEOMETRIC_CENTER,Batman,Batman Merkez,,060,True,True,True,False,3,Diğer,İl,Güney-Orta,Doğu
Bayburt University,"Bayburt University, Bayburt, Türkiye",40.2501473,40.2301474,ChIJ5QgplKWHb0ARmiuoYl5Yz-U,GEOMETRIC_CENTER,Bayburt,Bayburt Merkez,Merkez,69000,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Orta-Doğu
Bilecik Şeyh Edebali University,"Bilecik Şeyh Edebali University, Bilecik, Türkiye",40.192403,29.96965269999999,ChIJ0Wjfked1zBQRCYJJyAbEUoE,GEOMETRIC_CENTER,Bilecik,Bilecik Merkez,Pelitözü,11230,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Batı-Orta
Bingöl University,"Bingöl University, Bingöl, Türkiye",38.8983846,40.4878521,ChIJW8BvNdzPc0ARsJP1cDg3KAE,ROOFTOP,Bingöl,Merkez,Selahaddin-i Eyyubi,12000,True,True,True,False,3,Diğer,İl,Orta,Orta-Doğu
Bitlis Eren University,"Bitlis Eren University, Bitlis, Türkiye",38.4787577,42.1633789,ChIJvW-z_946DUAR7jHPGyAB0EM,GEOMETRIC_CENTER,Bitlis,Bitlis Merkez,Beş Minare,13000,True,True,True,False,3,Diğer,İl,Güney-Orta,Doğu
Bolu Abant İzzet Baysal University,"Bolu Abant İzzet Baysal University, Bolu, Türkiye",40.714338,31.5130485,ChIJKxgViy5AnUARnVV7oDSzAio,GEOMETRIC_CENTER,Bolu,Bolu Merkez,Karaköy,14030,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Batı-Orta
Burdur Mehmet Akif Ersoy University,"Burdur Mehmet Akif Ersoy University, Burdur, Türkiye",37.6909366,30.3431778,ChIJCQJHzh8sxBQRDLhrL6UbISI,GEOMETRIC_CENTER,Burdur,Burdur Merkez,Değirmenler,15030,True,True,True,False,3,Diğer,İl,Güney-Orta,Batı-Orta
Bursa Technical University,"Bursa Technical University, Bursa, Türkiye",40.1873928,29.1300219,ChIJp6v42bc-yhQRRzSZEVdAfhI,ROOFTOP,Bursa,Yıldırım,Mimarsinan,16310,True,True,True,False,3,Diğer,Büyükşehir,Orta-Kuzey,Batı
Bursa Uludağ University,"Bursa Uludağ University, , Türkiye",40.2264846,28.87604229999999,ChIJYfCdlf8NyhQRjEmrD0-g1Nw,GEOMETRIC_CENTER,Bursa,Ni̇lüfer,Görükle,16059,True,True,True,False,3,Diğer,Büyükşehir,Orta-Kuzey,Batı
Mudanya University,"Mudanya University, , Türkiye",40.3005027,28.9473477,ChIJUefCdWxtyhQRwANc5pbJlDE,ROOFTOP,Bursa,Mudanya,Çağrışan,16940,True,True,True,False,3,Diğer,Büyükşehir,Orta-Kuzey,Batı
Çanakkale Onsekiz Mart University,"Çanakkale Onsekiz Mart University, Çanakkale, Türkiye",40.1124472,26.4157357,EkpCYXJiYXJvcywgw4dhbmFra2FsZSAxOCBNYXJ0IMOcbnYuLCDDh2FuYWtrYWxlIE1lcmtlei_Dh2FuYWtrYWxlLCBUw7xya2l5ZSIuKiwKFAoSCRnozkYBqrEUEXYeGTwObJgMEhQKEgk_L0oh2KmxFBF_L-IDN-vrjA,GEOMETRIC_CENTER,Çanakkale,Çanakkale Merkez,Barbaros,,False,False,False,False,1,Diğer,İl,Orta-Kuzey,Batı
Çankırı Karatekin University,"Çankırı Karatekin University, Çankırı, Türkiye",40.61814030000001,33.6228597,ChIJDcfbm4jEg0ARI_mQFSu8yCg,GEOMETRIC_CENTER,Çankırı,Çankırı Merkez,Kırkevler,18100,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Orta
Hitit University,"Hitit University, Çorum, Türkiye",40.570898,34.981061,ChIJdZ5fU1PVgEARSDWTPOaYQZA,GEOMETRIC_CENTER,Çorum,Çorum Merkez,Üçtutlar,19030,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Orta
Pamukkale University,"Pamukkale University, Denizli, Türkiye",37.7381573,29.1039378,ChIJ____v9JMxhQRrFSSuCoQIXw,ROOFTOP,Denizli,Pamukkale,Kınıklı,20160,True,True,True,False,5,Diğer,İl,Güney-Orta,Batı
Dicle University,"Dicle University, Diyarbakır, Türkiye",37.9256735,40.2793722,ChIJxXhoB4bfdEARVXSCbKblVss,GEOMETRIC_CENTER,Diyarbakır,Sur,,,False,False,False,False,1,Güneydoğu Anadolu,İl,Güney-Orta,Orta-Doğu
Düzce University,"Düzce University, Düzce, Türkiye",40.9037361,31.1751022,ChIJk4bJYdugnUARbR74ImQaQus,GEOMETRIC_CENTER,Düzce,Düzce,Orhangazi,81620,True,True,True,False,4,Diğer,İl,Kuzey,Batı-Orta
Trakya University,"Trakya University, Edirne, Türkiye",41.67712969999999,26.5557145,ChIJ4QRjoncvsxQRvDAcQ8rAz6A,APPROXIMATE,Edirne,Edirne Merkez,,,False,False,False,False,2,Diğer,İl,Kuzey,Batı
Fırat University,"Fırat University, Elazığ, Türkiye",38.6777569,39.2019556,ChIJTZPs8EPAdkARmrz-valU2pc,GEOMETRIC_CENTER,Elazığ,Elazığ Merkez,Üniversite,23119,True,True,True,False,3,Diğer,İl,Orta,Orta-Doğu
Erzincan Binali Yıldırım University,"Erzincan Binali Yıldırım University, Erzincan, Türkiye",39.8038299,39.3787668,ChIJy-BTAsAMcEARBD2JMcpKwPk,GEOMETRIC_CENTER,Erzincan,Erzincan Merkez,Yalnızbağ,24002,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Orta-Doğu
Atatürk University,"Atatürk University, Erzurum, Türkiye",39.9025056,41.2266007,ChIJFxjSrsNebkAR7AGaWnWTD8w,APPROXIMATE,Erzurum,Yakutiye,Üniversite,25240,False,False,False,False,2,Doğu Anadolu,İl,Orta-Kuzey,Doğu
Erzurum Technical University,"Erzurum Technical University, , Türkiye",39.9173965,41.2356719,ChIJI-xY2ilcbkARva2_5nFFEsE,ROOFTOP,Erzurum,Yakutiye,Ömer Nasuhi Bilmen,25050,True,True,True,False,3,Doğu Anadolu,İl,Orta-Kuzey,Doğu
Anadolu University,"Anadolu University, Eskişehir, Türkiye",39.7897233,30.5005775,ChIJ8zP3ZOcVzBQRAc6SzLBuHzk,ROOFTOP,Eskişehir,Tepebaşı,Yeşiltepe,26470,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Batı-Orta
Eskişehir Osmangazi University,"Eskişehir Osmangazi University, , Türkiye",39.75168559999999,30.49002179999999,ChIJ2bvB3kMWzBQRu0DUyW5vg0w,GEOMETRIC_CENTER,Eskişehir,Odunpazarı,Büyükdere,26040,True,True,True,False,3,Diğer,İl,Orta,Batı-Orta
Eskişehir Technical University,"Eskişehir Technical University, , Türkiye",39.81592860000001,30.5320444,ChIJY2ywUdY_zBQR0Y0N_cQ2ilg,GEOMETRIC_CENTER,Eskişehir,Tepebaşı,Gazipaşa,26555,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Batı-Orta
Gaziantep University,"Gaziantep University, Gaziantep, Türkiye",37.0348343,37.3169967,ChIJv024qEbhMRURwHqNz3Xy-3Q,GEOMETRIC_CENTER,Gaziantep,Şahinbey,15 Temmuz,27410,True,True,True,False,3,Güneydoğu Anadolu,İl,Güney,Orta-Doğu
Gaziantep Islam Science and Technology University,"Gaziantep Islam Science and Technology University, , Türkiye",36.9789446,37.2997813,ChIJR3aBZ0rfMRUROhMrkLXfbUQ,GEOMETRIC_CENTER,Gaziantep,Şahinbey,Beştepe,27260,True,True,True,False,3,Güneydoğu Anadolu,İl,Güney,Orta-Doğu
Hasan Kalyoncu University,"Hasan Kalyoncu University, , Türkiye",37.0070556,37.4366808,ChIJoXC1TrvnMRURqaaDS3UyPHs,GEOMETRIC_CENTER,Gaziantep,Şahinbey,Osmanlı,27010,True,True,True,False,3,Güneydoğu Anadolu,İl,Güney,Orta-Doğu
Sanko University,"Sanko University, , Türkiye",37.071793,37.366725,ChIJsZrmn0ThMRURn1ufVuskVFk,ROOFTOP,Gaziantep,Şehitkamil,Değirmiçem,27090,True,True,True,False,3,Güneydoğu Anadolu,İl,Güney,Orta-Doğu
Giresun University,"Giresun University, Giresun, Türkiye",40.9206564,38.386581,ChIJTzJOhVNsY0ARzMo1hkjSC0Q,ROOFTOP,Giresun,Giresun Merkez,Kale,28100,True,True,True,False,3,Diğer,İl,Kuzey,Orta-Doğu
Gümüşhane University,"Gümüşhane University, Gümüşhane, Türkiye",40.4363788,39.5144286,ChIJFwOr-ygaZUARp6z3z2He37o,GEOMETRIC_CENTER,Gümüşhane,Gümüşhane Merkez,Bağlarbaşı,29100,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Orta-Doğu
Hakkari University,"Hakkari University, Hakkâri, Türkiye",37.5611328,43.7232059,ChIJo8jAEDgAD0ARzdg9BmfqC2g,ROOFTOP,Hakkari,Hakkâri Merkez,Merzan,30000,True,True,True,False,3,Diğer,İl,Güney-Orta,Doğu
Iskenderun Technical University,"Iskenderun Technical University, Hatay, Türkiye",36.5775248,36.1542869,ChIJi61FbOdYLxURJRWmHfCRivk,GEOMETRIC_CENTER,Hatay,İskenderun,Meydan,31200,True,True,True,False,3,Diğer,İl,Güney,Orta
Hatay Mustafa Kemal University,"Hatay Mustafa Kemal University, , Türkiye",36.4018488,36.3498097,ChIJK2XOdBfzJRUR0x4NBmIp45s,APPROXIMATE,Hatay,,,,False,False,False,False,2,Diğer,İl,Güney,Orta
Iğdır University,"Iğdır University, Iğdır, Türkiye",39.81482310000001,44.076847,ChIJuRdj-c8ga0AR0zxQ1qOPnE8,GEOMETRIC_CENTER,Iğdır,Iğdır Merkez,,76000,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Doğu
Süleyman Demirel University,"Süleyman Demirel University, Isparta, Türkiye",37.8292005,30.5263249,ChIJGax-ydfJxRQRKts5Ahaxsyo,GEOMETRIC_CENTER,Isparta,Merkez,Çünür,32260,True,True,True,False,3,Diğer,İl,Güney-Orta,Batı-Orta
Isparta University of Applied Sciences,"Isparta University of Applied Sciences, , Türkiye",37.7788716,30.5467236,ChIJn_RW1Vm3xRQRQ7AmRyq3liM,GEOMETRIC_CENTER,Isparta,Isparta Merkez,Bahçelievler Mh,32200,True,True,True,False,3,Diğer,İl,Güney-Orta,Batı-Orta
Military Academy,"Military Academy, Ankara (Military), Türkiye",39.9333635,32.8597419,ChIJsS1zINVH0xQRjSuEwLBX3As,APPROXIMATE,Ankara,,,,False,False,False,False,2,İç Anadolu,Büyükşehir,Orta-Kuzey,Batı-Orta
Air Force Academy,"Air Force Academy, İstanbul (Military), Türkiye",41.0082376,28.9783589,ChIJawhoAASnyhQR0LABvJj-zOE,APPROXIMATE,İstanbul,,,,False,False,False,False,2,Marmara,Büyükşehir,Kuzey,Batı
Naval Academy,"Naval Academy, Istanbul (Military), Türkiye",41.0082376,28.9783589,ChIJawhoAASnyhQR0LABvJj-zOE,APPROXIMATE,İstanbul,,,,False,False,False,False,2,Marmara,Büyükşehir,Kuzey,Batı
Boğaziçi University,"Boğaziçi University, Istanbul, Türkiye",41.0836151,29.0517642,ChIJc637R__JyhQRDs1GXJiVZL0,GEOMETRIC_CENTER,İstanbul,Beşiktaş,Bebek,34342,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Galatasaray University,"Galatasaray University, , Türkiye",41.0459897,29.0198998,ChIJkQGbULi3yhQRQCDiiZs25aM,ROOFTOP,İstanbul,Beşiktaş,Ortaköy,34349,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Medeniyet University,"Istanbul Medeniyet University, , Türkiye",40.994968,29.0644228,ChIJ9T9KQe7HyhQRhxQxlfNuVi4,GEOMETRIC_CENTER,İstanbul,Kadıköy,Dumlupınar,34720,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Technical University,"Istanbul Technical University, , Türkiye",41.1055941,29.0253401,ChIJ1-qyJMK1yhQRGRaXhEuYKEo,ROOFTOP,İstanbul,Sarıyer,Reşitpaşa,34467,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul University,"Istanbul University, , Türkiye",41.0126037,28.961838,ChIJ42s83I25yhQRemLN24uSUU8,GEOMETRIC_CENTER,İstanbul,Fatih,Beyazıt,34452,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul University-Cerrahpaşa,"Istanbul University-Cerrahpaşa, , Türkiye",40.989464,28.7242816,ChIJsdgdhamhyhQRqkOnLW37IRI,ROOFTOP,İstanbul,Avcılar,Üniversite,34320,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Marmara University,"Marmara University, , Türkiye",40.9870259,29.0528132,ChIJw2JOso7HyhQRfN_V3UjsrvY,GEOMETRIC_CENTER,İstanbul,Kadıköy,Eğitim,34722,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Mimar Sinan Fine Arts University,"Mimar Sinan Fine Arts University, , Türkiye",41.03037339999999,28.9890889,ChIJmWkdelK2yhQR59I7ObfZUpM,ROOFTOP,İstanbul,Beyoğlu,Pürtelaş Hasan Efendi,34427,True,True,True,False,4,Marmara,Büyükşehir,Kuzey,Batı
Turkish-German University,"Turkish-German University, , Türkiye",41.1443903,29.1008685,ChIJ8cGKOx_LyhQReif_oAN_TnM,ROOFTOP,İstanbul,Beykoz,Merkez,34820,True,True,True,False,4,Marmara,Büyükşehir,Kuzey,Batı
Turkish-Japanese Science and Technology University,"Turkish-Japanese Science and Technology University, , Türkiye",40.92075,29.3196045,ChIJWdSY_pDZyhQRBG9pbyzRqX8,GEOMETRIC_CENTER,İstanbul,Pendik,Sanayi,34906,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
University of Health Sciences,"University of Health Sciences, , Türkiye",41.0044719,29.0212792,ChIJPer0QD64yhQRANsj6Z6JEc8,ROOFTOP,İstanbul,Üsküdar,Selimiye,34668,True,True,True,False,4,Marmara,Büyükşehir,Kuzey,Batı
Yıldız Technical University,"Yıldız Technical University, , Türkiye",41.0520861,29.0106553,ChIJayli1q-3yhQRN8TakoQIjIM,GEOMETRIC_CENTER,İstanbul,Beşiktaş,Yıldız,34349,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Acıbadem University,"Acıbadem University, , Türkiye",40.978447,29.1102595,ChIJtZHeKPbFyhQRIP8tzAaYyUA,ROOFTOP,İstanbul,Ataşehir,İçerenköy,34638,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Altınbaş University,"Altınbaş University, , Türkiye",41.057263,28.82036849999999,ChIJn_fxvHKlyhQRQuL-I4o5kBw,ROOFTOP,İstanbul,Bağcılar,Mahmutbey,34217,False,True,True,False,6,Marmara,Büyükşehir,Kuzey,Batı
Bahçeşehir University,"Bahçeşehir University, , Türkiye",41.042165,29.0092591,ChIJY7nDoqK3yhQRGYV7gbnRcXY,GEOMETRIC_CENTER,İstanbul,Beşiktaş,Yıldız,34349,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Beykoz University,"Beykoz University, , Türkiye",41.095822,29.09205,ChIJmcQ-MEvKyhQRddpTbH9yKDU,ROOFTOP,İstanbul,Beykoz,Çubuklu,34805,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Bezmialem Vakıf University,"Bezmialem Vakıf University, , Türkiye",41.0188294,28.9350771,ChIJ6X468Si6yhQRLfxIgLJXZ0k,GEOMETRIC_CENTER,İstanbul,Fatih,Topkapı,34093,True,True,True,True,5,Marmara,Büyükşehir,Kuzey,Batı
Biruni University,"Biruni University, , Türkiye",41.0178922,28.9164256,ChIJTXvgrbG7yhQR0lZDtaQuN0E,ROOFTOP,İstanbul,Zeytinburnu,Merkezefendi,34015,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Demiroğlu Bilim University,"Demiroğlu Bilim University, , Türkiye",41.0691102,29.0123566,ChIJS2U7_1O2yhQR_ZDVHCFtfQY,ROOFTOP,İstanbul,Şişli,Esentepe,34394,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
